Brand,Name,Rating,Price,Link,ID
Benefit Cosmetics,Hoola Matte Powder Bronzer Mini,"4.5 out of 5 stars ; 3021 reviews(3,021)",$18.00 ,https://www.ulta.com/p/hoola-matte-powder-bronzer-mini-xlsImpprod13741145?sku=2595641&dcEvent=true,2595641
e.l.f. Cosmetics,Power Grip Primer + 4% Niacinamide,4.2 out of 5 stars ; 134 reviews(134),$10.00 ,https://www.ulta.com/p/power-grip-primer-4-niacinamide-pimprod2036637?sku=2604932&dcEvent=true,2604932
Benefit Cosmetics,Goof Proof Waterproof Easy Shape & Fill Eyebrow Pencil,"4.6 out of 5 stars ; 11606 reviews(11,606)",$25.00 ,https://www.ulta.com/p/goof-proof-waterproof-easy-shape-fill-eyebrow-pencil-xlsImpprod14191013?sku=2304330&dcEvent=true,2304330
Too Faced,Born This Way Matte 24 Hour Foundation,"4.4 out of 5 stars ; 1587 reviews(1,587)",$45.00 ,https://www.ulta.com/p/born-this-way-matte-24-hour-foundation-pimprod2016800?sku=2566720&dcEvent=true,2566720
Morphe,Micro Brow Dual-Ended Pencil & Spoolie,4.5 out of 5 stars ; 687 reviews(687),$8.00 ,https://www.ulta.com/p/micro-brow-dual-ended-pencil-spoolie-pimprod2009221?sku=2578274&dcEvent=true,2578274
e.l.f. Cosmetics,Hydrating Camo Concealer,"4.2 out of 5 stars ; 2584 reviews(2,584)",$7.00 ,https://www.ulta.com/p/hydrating-camo-concealer-pimprod2013395?sku=2558525&dcEvent=true,2558525
Benefit Cosmetics,Roller Lash Curling & Lifting Mascara Mini,"4.4 out of 5 stars ; 9006 reviews(9,006)",$15.00 ,https://www.ulta.com/p/roller-lash-curling-lifting-mascara-mini-xlsImpprod13091127?sku=2291641&dcEvent=true,2291641
IT Cosmetics,Superhero Elastic Stretch Volumizing & Lengthening Mascara,"4.1 out of 5 stars ; 8512 reviews(8,512)",$26.00 ,https://www.ulta.com/p/superhero-elastic-stretch-volumizing-lengthening-mascara-xlsImpprod13631067?sku=2298659&dcEvent=true,2298659
NYX Professional Makeup,The Brow Glue Laminating Setting Gel,"4.1 out of 5 stars ; 1928 reviews(1,928)",$9.00 ,https://www.ulta.com/p/brow-glue-laminating-setting-gel-pimprod2021268?sku=2601311&dcEvent=true,2601311
Maybelline,Lash Sensational Sky High Mascara,"3.9 out of 5 stars ; 2555 reviews(2,555)",$12.99 ,https://www.ulta.com/p/lash-sensational-sky-high-mascara-pimprod2020260?sku=2574523&dcEvent=true,2574523
Juvia's Place,Blushed Duo,4.8 out of 5 stars ; 132 reviews(132),$18.00 ,https://www.ulta.com/p/blushed-duo-pimprod2025280?sku=2600084&dcEvent=true,2600084
L'Oréal,Telescopic Original Mascara,"4.2 out of 5 stars ; 5295 reviews(5,295)",$12.99 ,https://www.ulta.com/p/telescopic-original-mascara-VP12153?sku=2138215&dcEvent=true,2138215
Anastasia Beverly Hills,Brow Definer 3-in-1 Triangle Tip Precision Eyebrow Pencil,"4.5 out of 5 stars ; 6086 reviews(6,086)",$26.00 ,https://www.ulta.com/p/brow-definer-3-in-1-triangle-tip-precision-eyebrow-pencil-xlsImpprod13521149?sku=2297659&dcEvent=true,2297659
Benefit Cosmetics,Hoola Matte Powder Bronzer,"4.5 out of 5 stars ; 3021 reviews(3,021)",$35.00 ,https://www.ulta.com/p/hoola-matte-powder-bronzer-xlsImpprod820346?sku=2595640&dcEvent=true,2595640
